t,phase,h,v,mach,q,drag,thrust,weight,mass,accel,accel_g,TW,T,T_C,p,p_kPa,rho,a_snd,mu,nu,sigma,delta,Re_body,Re_fin
3.3502,coast-to-staging,153.635724,40.879642,0.120339,1008.564514,3.074078,0.0,12.575067,1.2823,-12.203965,-1.244458,0.0,287.151392,14.001392,99492.955568,99.492956,1.207034,339.703818,1.8e-05,1.5e-05,0.985334,0.981919,232260.441907,207375.39456
3.4002,coast-to-staging,155.664426,40.271448,0.118551,978.58628,2.982705,0.0,12.575067,1.2823,-12.132708,-1.237192,0.0,287.138206,13.988206,99468.945422,99.468945,1.206798,339.696018,1.8e-05,1.5e-05,0.985141,0.981682,228768.402535,204257.502264
3.4502,coast-to-staging,157.662807,39.666772,0.116774,949.237197,2.89325,0.0,12.575067,1.2823,-12.062947,-1.230078,0.0,287.125217,13.975217,99445.298736,99.445299,1.206566,339.688335,1.8e-05,1.5e-05,0.984952,0.981449,225297.994477,201158.92364
3.5002,coast-to-staging,159.63104,39.065541,0.115007,920.505438,2.805676,0.0,12.575067,1.2823,-11.994653,-1.223114,0.0,287.112424,13.962424,99422.013241,99.422013,1.206337,339.680767,1.8e-05,1.5e-05,0.984765,0.981219,221848.758952,198079.249065
3.5502,coast-to-staging,161.569297,38.467681,0.113249,892.379521,2.719949,0.0,12.575067,1.2823,-11.927799,-1.216297,0.0,287.099826,13.949826,99399.086719,99.399087,1.206112,339.673315,1.8e-05,1.5e-05,0.984581,0.980993,218420.245925,195018.076719
3.6002,coast-to-staging,163.477744,37.873122,0.111501,864.848301,2.636034,0.0,12.575067,1.2823,-11.862358,-1.209624,0.0,287.087422,13.937422,99376.516996,99.376517,1.20589,339.665977,1.8e-05,1.5e-05,0.9844,0.98077,215012.013841,191975.012358
3.6502,coast-to-staging,165.356544,37.281793,0.109762,837.900955,2.5539,0.0,12.575067,1.2823,-11.798305,-1.203092,0.0,287.07521,13.92521,99354.301948,99.354302,1.205672,339.658753,1.8e-05,1.5e-05,0.984222,0.980551,211623.629384,188949.669093
3.7002,coast-to-staging,167.205858,36.693626,0.108033,811.526974,2.473512,0.0,12.575067,1.2823,-11.735616,-1.1967,0.0,287.063191,13.913191,99332.439493,99.332439,1.205457,339.651642,1.8e-05,1.5e-05,0.984046,0.980335,208254.667229,185941.667169
3.7502,coast-to-staging,169.025841,36.108552,0.106313,785.716154,2.394842,0.0,12.575067,1.2823,-11.674264,-1.190444,0.0,287.051361,13.901361,99310.927597,99.310928,1.205246,339.644644,1.8e-05,1.5e-05,0.983874,0.980123,204904.709814,182950.633762
3.8002,coast-to-staging,170.816647,35.526505,0.104601,760.458589,2.317857,0.0,12.575067,1.2823,-11.614228,-1.184322,0.0,287.039722,13.889722,99289.764267,99.289764,1.205038,339.637757,1.8e-05,1.5e-05,0.983704,0.979914,201573.347107,179976.202774
3.8502,coast-to-staging,172.578425,34.947421,0.102898,735.744656,2.24253,0.0,12.575067,1.2823,-11.555484,-1.178331,0.0,287.028271,13.878271,99268.947555,99.268948,1.204833,339.630983,1.8e-05,1.5e-05,0.983537,0.979708,198260.176393,177018.014637
3.9002,coast-to-staging,174.311322,34.371235,0.101204,711.565012,2.168831,0.0,12.575067,1.2823,-11.49801,-1.172471,0.0,287.017007,13.867007,99248.475555,99.248476,1.204632,339.624319,1.8e-05,1.5e-05,0.983373,0.979506,194964.802056,174075.716122
3.9502,coast-to-staging,176.015481,33.797883,0.099517,687.910585,2.096733,0.0,12.575067,1.2823,-11.441785,-1.166737,0.0,287.005931,13.855931,99228.346403,99.228346,1.204434,339.617766,1.8e-05,1.5e-05,0.983211,0.979308,191686.835373,171148.960154
4.0002,coast-to-staging,177.691042,33.227305,0.097839,664.772564,2.026209,0.0,12.575067,1.2823,-11.386786,-1.161129,0.0,286.995041,13.845041,99208.558274,99.208558,1.204239,339.611322,1.8e-05,1.5e-05,0.983053,0.979112,188425.894313,168237.405637
4.0502,coast-to-staging,179.338143,32.659439,0.096169,642.142393,1.957233,0.0,12.575067,1.2823,-11.332995,-1.155644,0.0,286.984335,13.834335,99189.109385,99.189109,1.204048,339.604988,1.8e-05,1.5e-05,0.982897,0.97892,185181.603345,165340.717272
4.1002,coast-to-staging,180.956917,32.094225,0.094506,620.011764,1.889779,0.0,12.575067,1.2823,-11.280392,-1.15028,0.0,286.973814,13.823814,99169.997992,99.169998,1.20386,339.598763,1.8e-05,1.5e-05,0.982743,0.978732,181953.593244,162458.565397
4.1502,coast-to-staging,182.547495,31.531605,0.092851,598.372608,1.823824,0.0,12.575067,1.2823,-11.228957,-1.145035,0.0,286.963475,13.813475,99151.22239,99.151222,1.203676,339.592645,1.8e-05,1.5e-05,0.982593,0.978546,178741.500912,159590.625814
