z_m,h_geopot_m,T_K,T_C,p_Pa,p_kPa,p_atm,rho_kgm3,a_ms,mu_Pas,nu_m2s,sigma,delta,theta
13000,12973.5,216.65,-56.5,16579.604309,16.579604,0.163628,0.266596,295.069494,1.4e-05,5.3e-05,0.217629,0.163628,0.751865
13250,13222.4,216.65,-56.5,15941.303446,15.941303,0.157328,0.256332,295.069494,1.4e-05,5.5e-05,0.209251,0.157328,0.751865
13500,13471.4,216.65,-56.5,15327.623862,15.327624,0.151272,0.246464,295.069494,1.4e-05,5.8e-05,0.201195,0.151272,0.751865
13750,13720.3,216.65,-56.5,14737.614019,14.737614,0.145449,0.236977,295.069494,1.4e-05,6e-05,0.193451,0.145449,0.751865
14000,13969.2,216.65,-56.5,14170.359218,14.170359,0.139851,0.227856,295.069494,1.4e-05,6.2e-05,0.186005,0.139851,0.751865
14250,14218.1,216.65,-56.5,13624.980181,13.62498,0.134468,0.219086,295.069494,1.4e-05,6.5e-05,0.178846,0.134468,0.751865
14500,14467.0,216.65,-56.5,13100.631668,13.100632,0.129293,0.210655,295.069494,1.4e-05,6.7e-05,0.171963,0.129293,0.751865
14750,14715.9,216.65,-56.5,12596.501159,12.596501,0.124318,0.202549,295.069494,1.4e-05,7e-05,0.165346,0.124318,0.751865
15000,14964.7,216.65,-56.5,12111.807589,12.111808,0.119534,0.194755,295.069494,1.4e-05,7.3e-05,0.158984,0.119534,0.751865
15250,15213.5,216.65,-56.5,11645.800123,11.6458,0.114935,0.187262,295.069494,1.4e-05,7.6e-05,0.152867,0.114935,0.751865
15500,15462.3,216.65,-56.5,11197.756986,11.197757,0.110513,0.180057,295.069494,1.4e-05,7.9e-05,0.146985,0.110513,0.751865
15750,15711.1,216.65,-56.5,10766.984334,10.766984,0.106262,0.17313,295.069494,1.4e-05,8.2e-05,0.141331,0.106262,0.751865
16000,15959.8,216.65,-56.5,10352.815177,10.352815,0.102174,0.166471,295.069494,1.4e-05,8.5e-05,0.135894,0.102174,0.751865
16250,16208.6,216.65,-56.5,9954.608329,9.954608,0.098244,0.160068,295.069494,1.4e-05,8.9e-05,0.130667,0.098244,0.751865
16500,16457.3,216.65,-56.5,9571.747416,9.571747,0.094466,0.153911,295.069494,1.4e-05,9.2e-05,0.125642,0.094466,0.751865
